rank,ticker,name,category,expiry,strike,dte,strike_zone,bid,ask,mid,spread_pct,iv,open_interest,volume,delta,delta_estimated,moneyness,final_score,confidence,confidence_label,thesis,thirteen_f,market,options,catalyst,risk_penalty,is_event_trade,reasons_against,data_flags,paper_recommendation
76,VRT,Vertiv Holdings,data_centers,2026-11-06,76.3,135,near_the_money,12.9,13.3,13.1,0.0305,0.6854,1525,625,0.5968,True,0.9995,7.02,1.0,high,7.93,2.53,9.0,10.0,4.0,0,False,RSI 88 overbought,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
77,VRT,Vertiv Holdings,data_centers,2026-11-06,84.0,135,slightly_otm,10.29,10.53,10.41,0.0231,0.6989,3066,410,0.5089,True,1.1003,7.02,1.0,high,7.93,2.53,9.0,10.0,4.0,0,False,RSI 88 overbought,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
78,VRT,Vertiv Holdings,data_centers,2026-11-06,91.6,135,longer_dated_otm,9.22,9.68,9.45,0.0487,0.7717,4399,1520,0.4514,True,1.1999,7.02,1.0,high,7.93,2.53,9.0,10.0,4.0,0,False,RSI 88 overbought,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
79,VRT,Vertiv Holdings,data_centers,2026-12-21,76.3,180,near_the_money,16.89,18.15,17.52,0.0719,0.8011,721,1885,0.6245,True,0.9995,7.02,1.0,high,7.93,2.53,9.0,10.0,4.0,0,False,RSI 88 overbought,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
80,VRT,Vertiv Holdings,data_centers,2026-12-21,84.0,180,slightly_otm,12.96,13.62,13.29,0.0497,0.7337,3733,1528,0.5439,True,1.1003,7.02,1.0,high,7.93,2.53,9.0,10.0,4.0,0,False,RSI 88 overbought,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
81,VRT,Vertiv Holdings,data_centers,2026-12-21,91.6,180,longer_dated_otm,11.95,12.65,12.3,0.0569,0.796,847,188,0.4955,True,1.1999,7.02,1.0,high,7.93,2.53,9.0,10.0,4.0,0,False,RSI 88 overbought,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
82,ASML,ASML Holding,semiconductor_equipment,2026-08-08,287.0,45,near_the_money,33.32,35.3,34.31,0.0577,0.8408,7723,1317,0.5653,True,1.0,6.99,0.8,high,8.39,0.0,9.0,8.5,2.0,0.5,False,RSI 88 overbought | no identified near-term catalyst | 45 DTE outside preferred 60-180,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
83,ANET,Arista Networks,networking,2026-08-08,172.0,45,near_the_money,13.33,14.07,13.7,0.054,0.5528,1985,1614,0.5489,True,0.9999,6.96,1.0,high,7.72,2.56,9.0,10.0,4.0,0,False,RSI 81 overbought | 45 DTE outside preferred 60-180,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
84,ANET,Arista Networks,networking,2026-09-22,172.0,90,near_the_money,19.36,20.63,19.995,0.0635,0.5661,4986,1068,0.5698,False,0.9999,6.96,1.0,high,7.72,2.56,9.0,10.0,4.0,0,False,RSI 81 overbought,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
85,ANET,Arista Networks,networking,2026-09-22,180.6,90,slightly_otm,15.88,16.66,16.27,0.0479,0.5627,5896,366,0.5002,True,1.0499,6.96,1.0,high,7.72,2.56,9.0,10.0,4.0,0,False,RSI 81 overbought,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
86,ANET,Arista Networks,networking,2026-09-22,189.2,90,slightly_otm,14.88,15.79,15.335,0.0593,0.6256,3063,1480,0.4524,True,1.0999,6.96,1.0,high,7.72,2.56,9.0,10.0,4.0,0,False,RSI 81 overbought,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
87,ANET,Arista Networks,networking,2026-09-22,206.4,90,longer_dated_otm,9.87,10.3,10.085,0.0426,0.6124,6676,1676,0.3391,True,1.1999,6.96,1.0,high,7.72,2.56,9.0,10.0,4.0,0,False,RSI 81 overbought,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
88,ANET,Arista Networks,networking,2026-11-06,172.0,135,near_the_money,21.92,23.63,22.775,0.0751,0.5207,915,1463,0.5813,True,0.9999,6.96,1.0,high,7.72,2.56,9.0,10.0,4.0,0,False,RSI 81 overbought,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
89,ANET,Arista Networks,networking,2026-11-06,180.6,135,slightly_otm,23.36,23.97,23.665,0.0258,0.6287,6683,976,0.5408,True,1.0499,6.96,1.0,high,7.72,2.56,9.0,10.0,4.0,0,False,RSI 81 overbought,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
90,ANET,Arista Networks,networking,2026-11-06,189.2,135,slightly_otm,18.27,19.44,18.855,0.0621,0.5879,7449,958,0.4816,True,1.0999,6.96,1.0,high,7.72,2.56,9.0,10.0,4.0,0,False,RSI 81 overbought,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
91,ANET,Arista Networks,networking,2026-11-06,206.4,135,longer_dated_otm,14.72,15.28,15.0,0.0373,0.6182,605,1555,0.3984,True,1.1999,6.96,1.0,high,7.72,2.56,9.0,10.0,4.0,0,False,RSI 81 overbought,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
92,ANET,Arista Networks,networking,2026-12-21,172.0,180,near_the_money,29.3,31.5,30.4,0.0724,0.6057,1819,209,0.6023,True,0.9999,6.96,1.0,high,7.72,2.56,9.0,10.0,4.0,0,False,RSI 81 overbought,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
93,ANET,Arista Networks,networking,2026-12-21,189.2,180,slightly_otm,21.81,22.26,22.035,0.0204,0.5685,2369,563,0.5042,True,1.0999,6.96,1.0,high,7.72,2.56,9.0,10.0,4.0,0,False,RSI 81 overbought,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
94,ANET,Arista Networks,networking,2026-12-21,206.4,180,longer_dated_otm,18.37,18.92,18.645,0.0295,0.6071,7044,1327,0.4333,True,1.1999,6.96,1.0,high,7.72,2.56,9.0,10.0,4.0,0,False,RSI 81 overbought,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
95,MRVL,Marvell Technology,semiconductors,2026-08-08,90.8,45,slightly_otm,7.11,7.41,7.26,0.0413,0.7363,6304,1417,0.4831,True,1.0506,6.94,0.8,high,7.62,0.0,9.0,9.5,2.0,0.5,False,RSI 84 overbought | no identified near-term catalyst | 45 DTE outside preferred 60-180,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
96,MRVL,Marvell Technology,semiconductors,2026-08-08,95.1,45,slightly_otm,4.63,4.81,4.72,0.0381,0.6464,5446,683,0.3875,True,1.1003,6.94,0.8,high,7.62,0.0,9.0,9.5,2.0,0.5,False,RSI 84 overbought | no identified near-term catalyst | 45 DTE outside preferred 60-180,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
97,MRVL,Marvell Technology,semiconductors,2026-11-06,90.8,135,slightly_otm,13.97,14.43,14.2,0.0324,0.7407,5743,493,0.5591,True,1.0506,6.94,0.8,high,7.62,0.0,9.0,9.5,2.0,0.5,False,RSI 84 overbought | no identified near-term catalyst,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
98,MRVL,Marvell Technology,semiconductors,2026-12-21,90.8,180,slightly_otm,15.26,16.06,15.66,0.0511,0.6956,1708,2012,0.5729,True,1.0506,6.94,0.8,high,7.62,0.0,9.0,9.5,2.0,0.5,False,RSI 84 overbought | no identified near-term catalyst,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
99,VRT,Vertiv Holdings,data_centers,2026-08-08,80.2,45,slightly_otm,6.33,6.47,6.4,0.0219,0.7352,3946,2195,0.4829,True,1.0506,6.93,1.0,high,7.93,2.53,9.0,9.5,4.0,0,False,RSI 88 overbought | 45 DTE outside preferred 60-180,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
100,VRT,Vertiv Holdings,data_centers,2026-08-08,84.0,45,slightly_otm,4.73,5.08,4.905,0.0714,0.7181,4090,2105,0.4076,True,1.1003,6.93,1.0,high,7.93,2.53,9.0,9.5,4.0,0,False,RSI 88 overbought | 45 DTE outside preferred 60-180,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
101,VRT,Vertiv Holdings,data_centers,2026-11-06,80.2,135,slightly_otm,12.46,13.33,12.895,0.0675,0.76,537,64,0.5621,True,1.0506,6.93,1.0,high,7.93,2.53,9.0,9.5,4.0,0,False,RSI 88 overbought,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
102,VRT,Vertiv Holdings,data_centers,2026-12-21,80.2,180,slightly_otm,14.59,14.94,14.765,0.0237,0.7399,4392,2224,0.5804,True,1.0506,6.93,1.0,high,7.93,2.53,9.0,9.5,4.0,0,False,RSI 88 overbought,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
103,TSM,Taiwan Semiconductor Mfg,semiconductors,2026-08-08,152.1,45,near_the_money,7.41,8.0,7.705,0.0766,0.3456,3186,683,0.5397,True,1.0002,6.89,0.8,high,8.81,0.0,9.5,10.0,2.0,1.2,False,13F: smart money exit (score -3.8) | no identified near-term catalyst | 45 DTE outside preferred 60-180,source:fixture,PAPER ONLY — never auto-traded. Watch only; wait for better entry / catalyst / IV.
104,TSM,Taiwan Semiconductor Mfg,semiconductors,2026-09-22,152.1,90,near_the_money,10.53,11.02,10.775,0.0455,0.3348,8332,1216,0.5562,False,1.0002,6.89,0.8,high,8.81,0.0,9.5,10.0,2.0,1.2,False,13F: smart money exit (score -3.8) | no identified near-term catalyst,source:fixture,PAPER ONLY — never auto-traded. Watch only; wait for better entry / catalyst / IV.
105,TSM,Taiwan Semiconductor Mfg,semiconductors,2026-09-22,159.7,90,slightly_otm,8.67,9.23,8.95,0.0626,0.3824,10080,1421,0.4558,True,1.0502,6.89,0.8,high,8.81,0.0,9.5,10.0,2.0,1.2,False,13F: smart money exit (score -3.8) | no identified near-term catalyst,source:fixture,PAPER ONLY — never auto-traded. Watch only; wait for better entry / catalyst / IV.
106,TSM,Taiwan Semiconductor Mfg,semiconductors,2026-09-22,167.3,90,slightly_otm,4.75,5.02,4.885,0.0553,0.3272,3111,2354,0.328,True,1.1002,6.89,0.8,high,8.81,0.0,9.5,10.0,2.0,1.2,False,13F: smart money exit (score -3.8) | no identified near-term catalyst,source:fixture,PAPER ONLY — never auto-traded. Watch only; wait for better entry / catalyst / IV.
107,TSM,Taiwan Semiconductor Mfg,semiconductors,2026-11-06,152.1,135,near_the_money,12.52,13.3,12.91,0.0604,0.3221,2242,1580,0.5685,True,1.0002,6.89,0.8,high,8.81,0.0,9.5,10.0,2.0,1.2,False,13F: smart money exit (score -3.8) | no identified near-term catalyst,source:fixture,PAPER ONLY — never auto-traded. Watch only; wait for better entry / catalyst / IV.
108,TSM,Taiwan Semiconductor Mfg,semiconductors,2026-11-06,159.7,135,slightly_otm,9.83,10.18,10.005,0.035,0.3327,1510,2257,0.473,True,1.0502,6.89,0.8,high,8.81,0.0,9.5,10.0,2.0,1.2,False,13F: smart money exit (score -3.8) | no identified near-term catalyst,source:fixture,PAPER ONLY — never auto-traded. Watch only; wait for better entry / catalyst / IV.
109,TSM,Taiwan Semiconductor Mfg,semiconductors,2026-11-06,167.3,135,slightly_otm,8.03,8.49,8.26,0.0557,0.3575,6143,1037,0.3966,True,1.1002,6.89,0.8,high,8.81,0.0,9.5,10.0,2.0,1.2,False,13F: smart money exit (score -3.8) | no identified near-term catalyst,source:fixture,PAPER ONLY — never auto-traded. Watch only; wait for better entry / catalyst / IV.
110,TSM,Taiwan Semiconductor Mfg,semiconductors,2026-12-21,152.1,180,near_the_money,15.38,16.13,15.755,0.0476,0.3383,8004,223,0.5796,True,1.0002,6.89,0.8,high,8.81,0.0,9.5,10.0,2.0,1.2,False,13F: smart money exit (score -3.8) | no identified near-term catalyst,source:fixture,PAPER ONLY — never auto-traded. Watch only; wait for better entry / catalyst / IV.
111,TSM,Taiwan Semiconductor Mfg,semiconductors,2026-12-21,159.7,180,slightly_otm,14.21,14.68,14.445,0.0325,0.3852,10086,216,0.5108,True,1.0502,6.89,0.8,high,8.81,0.0,9.5,10.0,2.0,1.2,False,13F: smart money exit (score -3.8) | no identified near-term catalyst,source:fixture,PAPER ONLY — never auto-traded. Watch only; wait for better entry / catalyst / IV.
112,TSM,Taiwan Semiconductor Mfg,semiconductors,2026-12-21,167.3,180,slightly_otm,9.22,9.91,9.565,0.0721,0.3348,9092,2144,0.419,True,1.1002,6.89,0.8,high,8.81,0.0,9.5,10.0,2.0,1.2,False,13F: smart money exit (score -3.8) | no identified near-term catalyst,source:fixture,PAPER ONLY — never auto-traded. Watch only; wait for better entry / catalyst / IV.
113,ANET,Arista Networks,networking,2026-08-08,180.6,45,slightly_otm,9.53,10.17,9.85,0.065,0.5429,6929,124,0.4465,True,1.0499,6.87,1.0,high,7.72,2.56,9.0,9.5,4.0,0,False,RSI 81 overbought | 45 DTE outside preferred 60-180,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
114,ANET,Arista Networks,networking,2026-08-08,189.2,45,slightly_otm,8.0,8.5,8.25,0.0606,0.5959,6947,837,0.3718,True,1.0999,6.87,1.0,high,7.72,2.56,9.0,9.5,4.0,0,False,RSI 81 overbought | 45 DTE outside preferred 60-180,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
115,ANET,Arista Networks,networking,2026-12-21,180.6,180,slightly_otm,25.63,26.38,26.005,0.0288,0.5863,2355,2022,0.5539,True,1.0499,6.87,1.0,high,7.72,2.56,9.0,9.5,4.0,0,False,RSI 81 overbought,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
116,VST,Vistra Corp,power_grid_electrification,2026-08-08,205.1,45,near_the_money,10.85,11.1,10.975,0.0228,0.3652,8167,101,0.541,True,1.0,6.86,1.0,high,8.11,0.78,9.5,10.0,4.0,0,False,45 DTE outside preferred 60-180,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
117,VST,Vistra Corp,power_grid_electrification,2026-09-22,205.1,90,near_the_money,14.99,15.86,15.425,0.0564,0.3564,4928,527,0.5574,False,1.0,6.86,1.0,high,8.11,0.78,9.5,10.0,4.0,0,False,,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
118,VST,Vistra Corp,power_grid_electrification,2026-09-22,215.4,90,slightly_otm,10.28,11.04,10.66,0.0713,0.3474,6877,1742,0.4442,True,1.0502,6.86,1.0,high,8.11,0.78,9.5,10.0,4.0,0,False,,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
119,VST,Vistra Corp,power_grid_electrification,2026-09-22,225.6,90,slightly_otm,8.88,9.37,9.125,0.0537,0.3943,1449,859,0.3677,True,1.0999,6.86,1.0,high,8.11,0.78,9.5,10.0,4.0,0,False,,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
120,VST,Vistra Corp,power_grid_electrification,2026-11-06,205.1,135,near_the_money,18.1,18.83,18.465,0.0395,0.3429,8548,419,0.5696,True,1.0,6.86,1.0,high,8.11,0.78,9.5,10.0,4.0,0,False,,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
121,VST,Vistra Corp,power_grid_electrification,2026-11-06,215.4,135,slightly_otm,14.77,15.53,15.15,0.0502,0.3661,3171,1810,0.4832,True,1.0502,6.86,1.0,high,8.11,0.78,9.5,10.0,4.0,0,False,,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
122,VST,Vistra Corp,power_grid_electrification,2026-11-06,225.6,135,slightly_otm,11.24,11.48,11.36,0.0211,0.3617,4676,720,0.3991,True,1.0999,6.86,1.0,high,8.11,0.78,9.5,10.0,4.0,0,False,,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
123,VST,Vistra Corp,power_grid_electrification,2026-12-21,205.1,180,near_the_money,22.33,23.97,23.15,0.0708,0.3716,4798,1333,0.5817,True,1.0,6.86,1.0,high,8.11,0.78,9.5,10.0,4.0,0,False,,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
124,VST,Vistra Corp,power_grid_electrification,2026-12-21,215.4,180,slightly_otm,17.21,18.38,17.795,0.0657,0.3558,8376,1727,0.5032,True,1.0502,6.86,1.0,high,8.11,0.78,9.5,10.0,4.0,0,False,,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
125,VST,Vistra Corp,power_grid_electrification,2026-12-21,225.6,180,slightly_otm,13.63,14.06,13.845,0.0311,0.3512,3815,1306,0.4275,True,1.0999,6.86,1.0,high,8.11,0.78,9.5,10.0,4.0,0,False,,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
126,VST,Vistra Corp,power_grid_electrification,2026-12-21,246.1,180,longer_dated_otm,8.73,9.33,9.03,0.0664,0.3644,868,1062,0.3061,True,1.1998,6.86,1.0,high,8.11,0.78,9.5,10.0,4.0,0,False,,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
127,TSM,Taiwan Semiconductor Mfg,semiconductors,2026-08-08,159.7,45,slightly_otm,4.57,4.67,4.62,0.0216,0.347,8767,1408,0.3819,True,1.0502,6.78,0.8,high,8.81,0.0,9.5,9.5,2.0,1.2,False,13F: smart money exit (score -3.8) | no identified near-term catalyst | 45 DTE outside preferred 60-180,source:fixture,PAPER ONLY — never auto-traded. Watch only; wait for better entry / catalyst / IV.
128,TSM,Taiwan Semiconductor Mfg,semiconductors,2026-09-22,182.5,90,longer_dated_otm,2.44,2.57,2.505,0.0519,0.3538,6739,155,0.1856,True,1.2001,6.78,0.8,high,8.81,0.0,9.5,9.5,2.0,1.2,False,13F: smart money exit (score -3.8) | no identified near-term catalyst,source:fixture,PAPER ONLY — never auto-traded. Watch only; wait for better entry / catalyst / IV.
129,TSM,Taiwan Semiconductor Mfg,semiconductors,2026-11-06,182.5,135,longer_dated_otm,4.25,4.52,4.385,0.0616,0.3525,8347,478,0.2499,True,1.2001,6.78,0.8,high,8.81,0.0,9.5,9.5,2.0,1.2,False,13F: smart money exit (score -3.8) | no identified near-term catalyst,source:fixture,PAPER ONLY — never auto-traded. Watch only; wait for better entry / catalyst / IV.
130,TSM,Taiwan Semiconductor Mfg,semiconductors,2026-12-21,182.5,180,longer_dated_otm,5.67,6.04,5.855,0.0632,0.342,1655,1862,0.2887,True,1.2001,6.78,0.8,high,8.81,0.0,9.5,9.5,2.0,1.2,False,13F: smart money exit (score -3.8) | no identified near-term catalyst,source:fixture,PAPER ONLY — never auto-traded. Watch only; wait for better entry / catalyst / IV.
131,VST,Vistra Corp,power_grid_electrification,2026-08-08,215.4,45,slightly_otm,6.66,7.11,6.885,0.0654,0.3707,5583,1549,0.3924,True,1.0502,6.77,1.0,high,8.11,0.78,9.5,9.5,4.0,0,False,45 DTE outside preferred 60-180,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
132,VST,Vistra Corp,power_grid_electrification,2026-09-22,246.1,90,longer_dated_otm,3.17,3.28,3.225,0.0341,0.3479,4027,576,0.1811,True,1.1998,6.77,1.0,high,8.11,0.78,9.5,9.5,4.0,0,False,,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
133,VST,Vistra Corp,power_grid_electrification,2026-11-06,246.1,135,longer_dated_otm,7.42,7.67,7.545,0.0331,0.3921,4340,2010,0.28,True,1.1998,6.77,1.0,high,8.11,0.78,9.5,9.5,4.0,0,False,,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
134,CEG,Constellation Energy,power_grid_electrification,2026-09-22,112.7,90,near_the_money,18.45,19.74,19.095,0.0676,0.8396,9560,1436,0.592,False,0.9997,6.76,1.0,high,8.37,3.77,9.0,10.0,4.0,0.6,False,RSI 88 overbought | drawdown -36% without stabilization,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
135,CEG,Constellation Energy,power_grid_electrification,2026-09-22,118.4,90,slightly_otm,16.59,17.41,17.0,0.0482,0.8478,6547,92,0.5467,True,1.0503,6.76,1.0,high,8.37,3.77,9.0,10.0,4.0,0.6,False,RSI 88 overbought | drawdown -36% without stabilization,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
136,CEG,Constellation Energy,power_grid_electrification,2026-09-22,124.0,90,slightly_otm,15.43,16.3,15.865,0.0548,0.8863,7111,1753,0.5104,True,1.1,6.76,1.0,high,8.37,3.77,9.0,10.0,4.0,0.6,False,RSI 88 overbought | drawdown -36% without stabilization,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
137,CEG,Constellation Energy,power_grid_electrification,2026-09-22,135.3,90,longer_dated_otm,11.27,11.94,11.605,0.0577,0.8472,4928,374,0.4207,True,1.2002,6.76,1.0,high,8.37,3.77,9.0,10.0,4.0,0.6,False,RSI 88 overbought | drawdown -36% without stabilization,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
138,CEG,Constellation Energy,power_grid_electrification,2026-11-06,112.7,135,near_the_money,20.49,20.92,20.705,0.0208,0.7374,9261,296,0.6017,True,0.9997,6.76,1.0,high,8.37,3.77,9.0,10.0,4.0,0.6,False,RSI 88 overbought | drawdown -36% without stabilization,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
139,CEG,Constellation Energy,power_grid_electrification,2026-11-06,124.0,135,slightly_otm,19.04,20.3,19.67,0.0641,0.8557,8308,1967,0.542,True,1.1,6.76,1.0,high,8.37,3.77,9.0,10.0,4.0,0.6,False,RSI 88 overbought | drawdown -36% without stabilization,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
140,CEG,Constellation Energy,power_grid_electrification,2026-11-06,135.3,135,longer_dated_otm,12.88,13.4,13.14,0.0396,0.7422,1376,449,0.442,True,1.2002,6.76,1.0,high,8.37,3.77,9.0,10.0,4.0,0.6,False,RSI 88 overbought | drawdown -36% without stabilization,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
141,CEG,Constellation Energy,power_grid_electrification,2026-12-21,112.7,180,near_the_money,27.21,29.07,28.14,0.0661,0.8775,3551,884,0.6333,True,0.9997,6.76,1.0,high,8.37,3.77,9.0,10.0,4.0,0.6,False,RSI 88 overbought | drawdown -36% without stabilization,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
142,CEG,Constellation Energy,power_grid_electrification,2026-12-21,135.3,180,longer_dated_otm,20.69,21.37,21.03,0.0323,0.8872,2648,615,0.52,True,1.2002,6.76,1.0,high,8.37,3.77,9.0,10.0,4.0,0.6,False,RSI 88 overbought | drawdown -36% without stabilization,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
143,VRT,Vertiv Holdings,data_centers,2026-08-08,76.3,45,near_the_money,8.31,8.52,8.415,0.025,0.7718,1752,1013,0.5618,True,0.9995,6.75,1.0,high,7.93,2.53,9.0,8.5,4.0,0,False,RSI 88 overbought | 45 DTE outside preferred 60-180,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
144,MU,Micron Technology,memory,2026-08-08,79.6,45,slightly_otm,1.31,1.35,1.33,0.0301,0.3612,5729,1981,0.2569,True,1.1005,6.73,0.8,high,7.55,0.0,9.0,8.0,4.0,0.7,True,RSI 84 overbought | 13F: smart money reduce (score -0.2) | 45 DTE outside preferred 60-180,source:fixture,PAPER ONLY — never auto-traded. Event/IV trade — paper-test around earnings; expect IV crush risk.
145,CEG,Constellation Energy,power_grid_electrification,2026-08-08,118.4,45,slightly_otm,10.36,10.78,10.57,0.0397,0.8051,5806,1223,0.4941,True,1.0503,6.67,1.0,high,8.37,3.77,9.0,9.5,4.0,0.6,False,RSI 88 overbought | drawdown -36% without stabilization | 45 DTE outside preferred 60-180,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
146,CEG,Constellation Energy,power_grid_electrification,2026-08-08,124.0,45,slightly_otm,8.7,9.28,8.99,0.0645,0.8299,1713,2229,0.4347,True,1.1,6.67,1.0,high,8.37,3.77,9.0,9.5,4.0,0.6,False,RSI 88 overbought | drawdown -36% without stabilization | 45 DTE outside preferred 60-180,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
147,CEG,Constellation Energy,power_grid_electrification,2026-08-08,135.3,45,longer_dated_otm,5.09,5.37,5.23,0.0535,0.78,2957,1713,0.3045,True,1.2002,6.67,1.0,high,8.37,3.77,9.0,9.5,4.0,0.6,False,RSI 88 overbought | drawdown -36% without stabilization | 45 DTE outside preferred 60-180 | aggressive OTM strike on short tenor,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
148,CEG,Constellation Energy,power_grid_electrification,2026-11-06,118.4,135,slightly_otm,19.22,20.09,19.655,0.0443,0.7823,1684,1628,0.5659,True,1.0503,6.67,1.0,high,8.37,3.77,9.0,9.5,4.0,0.6,False,RSI 88 overbought | drawdown -36% without stabilization,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
149,CEG,Constellation Energy,power_grid_electrification,2026-12-21,118.4,180,slightly_otm,24.4,25.82,25.11,0.0566,0.8471,6142,1634,0.598,True,1.0503,6.67,1.0,high,8.37,3.77,9.0,9.5,4.0,0.6,False,RSI 88 overbought | drawdown -36% without stabilization,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
150,CEG,Constellation Energy,power_grid_electrification,2026-12-21,124.0,180,slightly_otm,20.21,20.9,20.555,0.0336,0.7629,2444,1268,0.5505,True,1.1,6.67,1.0,high,8.37,3.77,9.0,9.5,4.0,0.6,False,RSI 88 overbought | drawdown -36% without stabilization,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
151,VRT,Vertiv Holdings,data_centers,2026-08-08,91.6,45,longer_dated_otm,2.52,2.73,2.625,0.08,0.6789,5651,1117,0.2661,True,1.1999,6.66,1.0,high,7.93,2.53,9.0,8.0,4.0,0,False,RSI 88 overbought | 45 DTE outside preferred 60-180 | aggressive OTM strike on short tenor,source:fixture,PAPER ONLY — never auto-traded. Candidate for a small paper position; verify live quotes & spread first.
